Name of the school,Addition,Subtraction,Multiplication,Division
GHPS UTHANOOR,1,1,1,1
GHPS UTHANOOR,1,1,1,1
GHPS UTHANOOR,1,1,1,1
GHPS UTHANOOR,0,1,1,1
GHPS UTHANOOR,0,1,1,0
GHPS UTHANOOR,0,1,1,1
GHPS UTHANOOR,0,1,1,1
GHPS UTHANOOR,0,1,1,0
GHPS UTHANOOR,0,1,1,0
GHPS UTHANOOR,0,0,1,1
GHPS UTHANOOR,1,1,0,1
GHPS UTHANOOR,0,0,1,0
GHPS & GHS MOTA SUGUR,1,1,1,1
GHPS & GHS MOTA SUGUR,1,1,1,1
GHPS & GHS MOTA SUGUR,1,1,1,1
GHPS & GHS MOTA SUGUR,1,1,1,1
GHPS & GHS MOTA SUGUR,1,1,1,1
GHPS & GHS MOTA SUGUR,0,1,1,1
GHPS & GHS MOTA SUGUR,1,1,0,1
GHPS & GHS MOTA SUGUR,1,1,0,0
GHPS & GHS MOTA SUGUR,1,1,1,1
GHPS & GHS MOTA SUGUR,1,1,1,1
GHPS & GHS MOTA SUGUR,0,1,1,0
GHPS & GHS MOTA SUGUR,1,0,1,1
GHPS & GHS MOTA SUGUR,0,0,0,0
GHPS & GHS MOTA SUGUR,1,1,1,0
GHPS & GHS MOTA SUGUR,1,1,1,1
GHPS & GHS MOTA SUGUR,0,1,1,1
GHPS   KOORIGANOOR,1,1,0,0
GHPS   KOORIGANOOR,1,1,0,1
GHPS   KOORIGANOOR,1,1,0,1
GHPS   KOORIGANOOR,1,1,0,1
GHPS   KOORIGANOOR,1,1,0,0
GHPS   KOORIGANOOR,1,1,0,1
GHPS   KOORIGANOOR,1,1,1,1
GHPS   KOORIGANOOR,1,1,0,1
GHPS   KOORIGANOOR,1,1,0,1
GHPS   KOORIGANOOR,0,1,0,1
GHPS   KOORIGANOOR,1,1,1,1
GHPS   KOORIGANOOR,1,1,0,1
GHPS   KOORIGANOOR,1,1,1,1
GHPS   KOORIGANOOR,0,1,1,1
GHPS   KOORIGANOOR,1,1,1,1
GHPS   KOORIGANOOR,0,1,1,1
GHPS   KOORIGANOOR,1,1,1,1
GHPS   KOORIGANOOR,1,1,1,1
GHPS   KOORIGANOOR,1,1,1,1
GHPS   KOORIGANOOR,0,0,1,1
GLPS BASAVANA PETE,1,1,1,1
GLPS BASAVANA PETE,1,1,1,1
GLPS BASAVANA PETE,1,1,1,1
GLPS BASAVANA PETE,1,1,1,1
GLPS BASAVANA PETE,1,1,1,1
GLPS BASAVANA PETE,1,1,1,1
GLPS BASAVANA PETE,1,1,0,0
GLPS BASAVANA PETE,1,1,0,1
GLPS BASAVANA PETE,1,0,0,1
GLPS BASAVANA PETE,0,0,0,0
GLPS BASAVANA PETE,0,1,0,1
GLPS BASAVANA PETE,1,0,0,1
GLPS BASAVANA PETE,1,0,0,1
GLPS BASAVANA PETE,1,0,0,1
GLPS BASAVANA PETE,0,0,1,1
GLPS BASAVANA PETE,1,1,0,1
GHPS JANATA COLONY,0,0,0,0
GHPS JANATA COLONY,1,1,0,0
GHPS JANATA COLONY,1,1,0,1
GHPS JANATA COLONY,1,1,0,0
GHPS JANATA COLONY,1,1,0,0
GHPS JANATA COLONY,1,1,0,0
GHPS JANATA COLONY,1,0,0,1
GHPS JANATA COLONY,1,0,0,1
GHPS JANATA COLONY,1,1,0,1
GHPS JANATA COLONY,1,0,0,1
GHPS JANATA COLONY,1,0,0,1
GHPS JANATA COLONY,1,0,0,1
GHPS JANATA COLONY,1,0,0,1
GHPS JANATA COLONY,1,1,0,1
GHPS JANATA COLONY,1,0,0,1
GHPS JANATA COLONY,1,1,0,1
GHPS JANATA COLONY,1,1,0,1
GHPS   SIRIGERI,1,1,1,1
GHPS   SIRIGERI,1,1,1,1
GHPS   SIRIGERI,1,1,0,1
GHPS   SIRIGERI,1,0,0,0
GHPS   SIRIGERI,1,0,0,0
GHPS   SIRIGERI,1,0,0,0
GHPS   SIRIGERI,1,0,0,0
GHPS   SIRIGERI,0,0,0,0
GHPS   SIRIGERI,0,0,0,0
GHPS   SIRIGERI,0,0,0,0
GHPS   SIRIGERI,1,0,0,0
GHPS   SIRIGERI,1,1,0,0
GHPS   SIRIGERI,1,0,0,0
GHPS   SIRIGERI,1,1,0,0
GHPS   SIRIGERI,1,1,0,0
GHPS   SIRIGERI,1,1,1,1
GHPS   SIRIGERI,1,1,0,0
GHPS   SIRIGERI,1,1,1,1
GHPS   SIRIGERI,1,0,0,0
GHPS   SIRIGERI,1,0,0,0
GHPS   SIRIGERI,1,1,0,1
GHPS   SIRIGERI,1,1,0,0
GMHPS  SIRIGERI,1,0,0,0
GMHPS  SIRIGERI,1,0,0,0
GMHPS  SIRIGERI,1,0,0,0
GMHPS  SIRIGERI,1,0,0,0
GMHPS  SIRIGERI,1,0,0,0
GMHPS  SIRIGERI,1,1,0,0
GMHPS  SIRIGERI,1,1,0,0
GMHPS  SIRIGERI,1,1,1,0
GMHPS  SIRIGERI,1,1,1,0
GMHPS  SIRIGERI,1,1,0,0
GMHPS  SIRIGERI,1,0,0,0
GMHPS  SIRIGERI,1,0,0,1
GMHPS  SIRIGERI,1,1,1,0
GMHPS  SIRIGERI,1,0,0,0
GMHPS  SIRIGERI,1,1,0,0
GMHPS  SIRIGERI,1,1,1,1
GMHPS  SIRIGERI,1,1,1,1
GHPS    SIRIGERI,1,1,0,1
GHPS    SIRIGERI,1,1,0,1
GHPS    SIRIGERI,1,1,0,1
GHPS    SIRIGERI,1,1,0,1
GHPS    SIRIGERI,1,1,1,1
GHPS    SIRIGERI,1,1,0,1
GHPS    SIRIGERI,1,1,1,0
GHPS    SIRIGERI,1,1,0,1
GHPS    SIRIGERI,0,0,0,0
GHPS    SIRIGERI,1,1,1,1
GHPS    SIRIGERI,1,1,1,0
GHPS    SIRIGERI,1,1,0,0
GHPS    SIRIGERI,1,1,0,0
GHPS    SIRIGERI,1,0,0,1
GHPS    SIRIGERI,1,1,0,0
GHPS    SIRIGERI,1,1,0,0
GHPS    SIRIGERI,1,1,0,0
GHPS    SIRIGERI,1,1,0,0
GHPS    SIRIGERI,1,1,0,0
GHPS    SIRIGERI,1,1,0,0
GHPS    SIRIGERI,0,0,0,0
GHPS    SIRIGERI,1,0,0,1
GHPS    SIRIGERI,0,0,0,1
GHPS    SIRIGERI,0,0,0,0
GHPS    SIRIGERI,0,0,0,0
GHPS MADDUR,1,1,1,1
GHPS MADDUR,1,0,1,1
GHPS MADDUR,0,0,1,0
GHPS MADDUR,0,1,0,1
GHPS MADDUR,1,1,0,1
GHPS MADDUR,1,1,0,0
GHPS MADDUR,1,0,0,0
GHPS MADDUR,0,0,0,0
GHPS MADDUR,1,1,0,0
GHPS MADDUR,1,1,0,0
GHPS MADDUR,0,0,1,0
GHPS MADDUR,1,0,0,0
GHPS MADDUR,0,1,0,0
GHPS MADDUR,1,0,0,0
GHPS MADDUR,0,0,0,0
GHPS MADDUR,0,0,0,1
GHPS MADDUR,1,0,0,0
GHPS MADDUR,1,0,0,0
GHPS MADDUR,0,0,0,0
GHPS MADDUR,0,0,0,0
GHPS MADDUR,1,0,0,0
GHPS MADDUR,1,0,0,1
GHPS MADDUR,0,0,0,0
GHPS MADDUR,1,0,0,1
GHPS MADDUR,1,1,0,1
GHPS MADDUR,1,1,0,1
GHPS MADDUR,1,0,1,1
GHPS MADDUR,1,1,0,0
GHPS MADDUR,1,0,0,1
GHPS MADDUR,1,0,0,1
GHPS MADDUR,1,1,0,0
GHPS MADDUR,1,1,0,1
GHPS MADDUR,1,0,0,0
GHPS MADDUR,1,1,0,0
GHPS MADDUR,1,0,0,0
GHPS BOODI THITTU -1,1,0,0,0
GHPS BOODI THITTU -1,1,1,0,0
GHPS BOODI THITTU -1,1,0,0,1
GHPS BOODI THITTU -1,1,1,1,1
GHPS MALLIGAHALLI,1,1,0,1
GHPS MALLIGAHALLI,0,1,0,0
GHPS MALLIGAHALLI,1,0,0,1
GHPS MALLIGAHALLI,1,0,0,0
GHPS MALLIGAHALLI,1,1,0,0
GHPS MALLIGAHALLI,0,0,0,0
GHPS MALLIGAHALLI,1,0,0,0
GHPS MALLIGAHALLI,1,1,0,0
GHPS MALLIGAHALLI,1,1,0,0
GHPS MALLIGAHALLI,0,1,0,0
GHPS MALLIGAHALLI,1,1,0,0
GHPS MALLIGAHALLI,1,0,1,0
GHPS MALLIGAHALLI,1,1,0,1
GHPS MALLIGAHALLI,1,0,0,1
GHPS MALLIGAHALLI,0,1,0,0
GHPS MALLIGAHALLI,1,1,0,1
